Employee Number,Employee Name,Region,Organization Name,Original Date Of Hire,Job Title
13864,William Bishop,Region 3,008 Store 19,18/12/1994,VP Marketing
19257,Christopher Snyder,Region 4,005 Store 5,22/09/2005,Compensation Analyst
24024,Craig Mitchell,Region 1,008 Store 4,11/09/2004,General Manager
25069,Norma Hunt,Region 7,009 Store 27,19/08/1994,Assistant Media Planner
2917,Irene Russell,Region 10,008 Store 25,25/07/2000,Pharmacist
13048,John Grant,Region 7,007 Store 19,13/06/2011,Project Manager
6008,David Lewis,Region 2,006 Store 12,24/03/2001,Help Desk Technician
12933,Patricia Pierce,Region 7,004 Store 7,06/08/1993,Quality Engineer
7164,Earl Howell,Region 7,005 Store 17,11/06/2005,Quality Engineer
4877,Chris Peters,Region 6,004 Store 16,17/06/2007,Structural Engineer
7227,Sara Day,Region 8,002 Store 3,09/05/2010,Sales Representative
11932,Jeremy Stevens,Region 6,010 Store 13,14/11/1994,Design Engineer
18203,Juan Parker,Region 3,002 Store 17,01/12/2005,Financial Analyst
4679,Brenda Stewart,Region 6,007 Store 28,11/10/2010,VP Product Management
24922,Michael Powell,Region 6,008 Store 22,18/08/1998,Clinical Specialist
1595,Cynthia Mendoza,Region 4,008 Store 14,08/05/1995,VP Marketing
930,Judith Robinson,Region 10,001 Store 13,05/06/1993,Dental Hygienist
6256,Barbara Gonzales,Region 1,001 Store 21,19/02/1993,Computer Systems Analyst II
11142,Bobby Harper,Region 5,002 Store 17,27/09/1995,Social Worker
17012,Anne Gibson,Region 9,010 Store 1,12/02/1992,Environmental Specialist
12293,Billy Snyder,Region 3,002 Store 21,18/05/1990,VP Marketing
26254,Jack Gibson,Region 8,003 Store 13,27/09/2000,GIS Technical Architect
4288,Victor Ellis,Region 10,009 Store 2,29/08/1992,Social Worker
16535,Sharon Lee,Region 6,002 Store 20,06/12/1999,Food Chemist
26150,Donna Porter,Region 3,007 Store 21,12/05/1995,Quality Engineer
19134,Melissa Burton,Region 8,004 Store 5,01/06/2007,Nurse
9171,Carol Reyes,Region 3,009 Store 25,19/03/1996,Financial Advisor
12170,Anne Schmidt,Region 10,004 Store 26,01/09/1994,Nurse Practicioner
18966,Jason Murray,Region 3,010 Store 27,12/05/2003,Software Engineer II
7058,Richard Daniels,Region 8,005 Store 19,24/06/2007,Sales Representative
22627,Charles Tucker,Region 2,003 Store 26,31/08/2003,Research Assistant II
8058,Steve Arnold,Region 3,005 Store 23,10/08/1998,Nuclear Power Engineer
19963,Dorothy Turner,Region 9,004 Store 23,06/03/1996,Financial Analyst
18497,Aaron Gonzalez,Region 4,005 Store 28,10/08/2008,VP Sales
4707,Norma Hughes,Region 7,003 Store 12,23/05/2005,Teacher
20446,Janice Hawkins,Region 4,009 Store 5,18/07/2010,Biostatistician III
15367,Jonathan Cunningham,Region 3,005 Store 23,01/12/2009,Automation Specialist III
10633,Adam Kelly,Region 2,003 Store 4,04/07/1995,Senior Developer
5472,Joshua Jenkins,Region 1,010 Store 7,12/08/2000,Mechanical Systems Engineer
23185,Juan Washington,Region 7,009 Store 4,19/06/2004,Research Nurse
20118,Teresa Chapman,Region 10,008 Store 7,01/02/1993,Financial Advisor
8617,Susan James,Region 3,002 Store 4,16/05/2004,Occupational Therapist
25500,Brenda Henry,Region 5,006 Store 20,23/08/1993,Product Engineer
216,Robert Lane,Region 4,001 Store 25,15/04/2008,Registered Nurse
290,Diana Taylor,Region 9,003 Store 11,26/09/2011,Technical Writer
24400,Laura Austin,Region 9,007 Store 15,29/02/1992,Office Assistant IV
9127,Eugene Henderson,Region 6,004 Store 12,10/02/1993,Chemical Engineer
18771,Christina Perez,Region 10,005 Store 22,04/01/1991,Legal Assistant
4549,Matthew Day,Region 7,004 Store 16,27/12/2012,Electrical Engineer
7763,Margaret Turner,Region 10,005 Store 5,14/04/2004,Assistant Professor
21952,Joshua Gutierrez,Region 10,007 Store 2,26/08/1991,Senior Sales Associate
17962,Steven Wells,Region 6,005 Store 18,21/10/2004,Human Resources Manager
19906,Eric Medina,Region 9,002 Store 6,02/07/1995,Information Systems Manager
9688,Jeremy Torres,Region 10,009 Store 13,11/03/2001,Nurse
20617,Melissa Kim,Region 6,004 Store 7,24/06/1992,Senior Cost Accountant
27054,Carolyn Green,Region 3,006 Store 14,17/07/2002,Senior Financial Analyst
24399,Ann Boyd,Region 2,003 Store 2,14/02/1993,Payment Adjustment Coordinator
21588,David Riley,Region 6,008 Store 16,24/09/2014,VP Accounting
11305,Carolyn Baker,Region 5,002 Store 16,04/04/2001,Speech Pathologist
14269,Lois Washington,Region 6,007 Store 9,23/08/2011,Junior Executive
8472,Henry Wells,Region 3,010 Store 20,18/02/1999,Editor
222,Debra Johnston,Region 7,006 Store 10,24/09/2012,Software Test Engineer IV
14536,Clarence Jacobs,Region 3,008 Store 17,11/01/1995,Analog Circuit Design manager
5171,Charles Myers,Region 4,001 Store 4,07/03/2001,Financial Analyst
20889,Frank Clark,Region 10,009 Store 3,08/07/2005,Health Coach I
5132,Johnny Fisher,Region 4,007 Store 16,01/02/1997,Mechanical Systems Engineer
15007,Gerald Mills,Region 3,004 Store 14,17/02/1998,Analyst Programmer
7463,Louise Simmons,Region 7,001 Store 9,12/10/2003,VP Marketing
20520,Willie Ellis,Region 3,005 Store 27,09/07/2003,Technical Writer
17627,Joshua Ramirez,Region 5,003 Store 15,11/11/2004,Account Executive
21963,Judith Nichols,Region 1,003 Store 20,07/12/1990,Quality Control Specialist
5310,Andrew Schmidt,Region 8,008 Store 28,10/01/2008,Software Test Engineer I
25613,Paul Kelly,Region 1,006 Store 9,10/07/2012,Sales Associate
21978,Virginia George,Region 7,001 Store 24,13/04/1991,Budget/Accounting Analyst III
12751,Carol Romero,Region 3,002 Store 25,13/08/2003,Automation Specialist IV
451,Timothy Mendoza,Region 2,010 Store 15,12/10/2011,Cost Accountant
23650,Terry Cook,Region 4,010 Store 7,15/07/1999,Assistant Professor
14136,Paul Ramos,Region 5,005 Store 18,26/03/2001,Cost Accountant
5369,Laura Kennedy,Region 4,006 Store 22,01/04/2006,Systems Administrator II
305,Carolyn Thomas,Region 2,007 Store 19,22/04/1998,Civil Engineer
17203,Jeffrey Ford,Region 10,009 Store 9,26/02/2013,Analyst Programmer
26959,Raymond Gardner,Region 7,007 Store 13,11/04/2009,Librarian
4717,Steven Morgan,Region 2,003 Store 17,23/10/2004,Structural Engineer
16836,Debra Green,Region 10,010 Store 7,08/06/2008,Payment Adjustment Coordinator
10828,Julia Myers,Region 6,008 Store 25,21/08/2003,VP Product Management
22837,Debra Harrison,Region 3,002 Store 8,23/07/1999,Database Administrator II
25697,Dennis Davis,Region 10,005 Store 18,18/01/2005,Account Executive
27445,Scott Martinez,Region 8,009 Store 19,01/08/2000,Assistant Media Planner
23553,Anthony Scott,Region 1,008 Store 25,17/09/2005,Developer IV
15505,Stephanie Harrison,Region 5,009 Store 11,17/03/2006,Senior Sales Associate
19283,Sarah Robertson,Region 4,008 Store 15,31/03/2013,Social Worker
9272,Rose Kelly,Region 4,007 Store 23,24/10/2011,Senior Quality Engineer
4319,John Gutierrez,Region 8,008 Store 23,16/08/1990,Civil Engineer
20565,Robert Perkins,Region 2,006 Store 18,03/06/1997,Statistician IV
13101,Helen Morrison,Region 3,010 Store 1,20/03/2013,Marketing Assistant
7047,Jerry Nichols,Region 2,007 Store 26,14/07/2006,VP Accounting
27188,Roy Adams,Region 8,004 Store 20,30/12/1999,Teacher
9057,Henry Fuller,Region 4,006 Store 22,20/09/1996,Budget/Accounting Analyst III
171,Phyllis Morales,Region 10,004 Store 5,30/03/2000,Web Designer IV
8703,Chris Gray,Region 6,006 Store 22,06/04/1996,General Manager
27021,Janet Flores,Region 10,005 Store 1,15/09/2014,Environmental Tech
5350,Joan Gutierrez,Region 9,010 Store 20,21/05/2003,Information Systems Manager
17004,Henry Morrison,Region 4,005 Store 22,21/03/2003,Editor
9440,Edward Mcdonald,Region 4,006 Store 25,29/03/2009,Senior Quality Engineer
23506,Gary Flores,Region 6,001 Store 18,31/12/2001,Research Associate
23616,Ruby Hamilton,Region 10,008 Store 5,25/08/1997,Nurse Practicioner
2077,Pamela Cunningham,Region 7,007 Store 17,15/04/2008,Computer Systems Analyst II
716,Amy Kelly,Region 8,002 Store 17,02/12/1996,Paralegal
72,Kelly White,Region 3,010 Store 11,28/11/2010,Pharmacist
18267,Debra Harper,Region 5,008 Store 9,10/09/2011,Research Nurse
2750,Jean Barnes,Region 4,004 Store 17,11/06/1995,Accounting Assistant II
18201,Mildred Morrison,Region 6,002 Store 4,08/08/1997,Administrative Officer
7984,Nancy Holmes,Region 4,001 Store 18,21/04/2002,Nuclear Power Engineer
13451,Martin Martinez,Region 5,004 Store 2,24/04/2009,Food Chemist
5522,Eric Carpenter,Region 10,002 Store 26,10/09/2010,Internal Auditor
24551,Kimberly Woods,Region 5,004 Store 8,19/06/2004,Senior Cost Accountant
27002,Rachel Price,Region 4,002 Store 5,03/04/1995,Media Manager I
15250,Kevin Campbell,Region 7,010 Store 18,30/03/2001,Operator
7363,Teresa Freeman,Region 6,008 Store 23,14/07/1999,VP Accounting
12470,Rebecca Welch,Region 7,002 Store 7,03/12/2014,Social Worker
6544,Kathy Peters,Region 8,001 Store 21,27/09/2003,Financial Advisor
9260,Kathryn Ramos,Region 7,010 Store 19,23/01/1993,Electrical Engineer
22465,Jessica Wood,Region 9,007 Store 4,03/02/2015,VP Accounting
24374,Ernest Montgomery,Region 2,009 Store 22,18/07/2004,Operator
3811,Shawn Medina,Region 3,006 Store 18,01/12/2011,Account Coordinator
4249,Melissa Lopez,Region 7,003 Store 2,26/05/1998,Web Designer IV
13390,Marilyn Moreno,Region 9,009 Store 1,17/11/2013,Geological Engineer
626,Janice Berry,Region 9,008 Store 6,01/07/2001,Nurse
3316,Roy Alvarez,Region 2,007 Store 25,18/06/2012,Assistant Manager
10690,Walter Myers,Region 6,010 Store 28,20/12/1991,Electrical Engineer
14278,Jonathan Dunn,Region 4,004 Store 6,18/11/1999,Research Nurse
6357,Harold Willis,Region 6,006 Store 16,19/10/1992,Sales Representative
415,Evelyn Hall,Region 2,009 Store 5,14/05/2009,Account Coordinator
14360,Brian Robinson,Region 3,005 Store 9,03/02/2004,Financial Advisor
12600,Christina Riley,Region 6,005 Store 12,03/10/2008,Technical Writer
12748,Dorothy Harrison,Region 9,002 Store 26,05/08/1993,Recruiting Manager
23382,Fred Bell,Region 6,007 Store 18,10/07/2005,Registered Nurse
24091,Maria Willis,Region 4,007 Store 5,11/12/2005,Occupational Therapist
1337,Harold Stanley,Region 10,006 Store 10,26/12/2012,Project Manager
10603,Christina Roberts,Region 10,004 Store 21,12/06/1992,Account Executive
11489,Marilyn Stanley,Region 2,010 Store 9,20/03/1993,Registered Nurse
22046,Gregory Hall,Region 1,001 Store 14,03/06/2011,Graphic Designer
24359,Phillip Morales,Region 4,007 Store 20,12/07/1995,Payment Adjustment Coordinator
24889,Thomas Holmes,Region 5,006 Store 12,19/07/2003,Financial Analyst
20539,Timothy Wagner,Region 9,010 Store 24,20/06/1992,Web Designer II
8870,Emily Reyes,Region 4,001 Store 24,28/06/1993,Marketing Assistant
24245,Thomas Austin,Region 10,008 Store 28,02/01/2002,Structural Engineer
7659,Jeffrey Moreno,Region 8,008 Store 2,15/12/2014,Engineer II
12715,Randy Morrison,Region 3,005 Store 4,28/05/2006,Clinical Specialist
15730,Julia Cook,Region 10,010 Store 7,30/12/2006,Structural Engineer
11260,Ashley Stewart,Region 1,002 Store 9,03/01/1991,Quality Control Specialist
1628,Jonathan Peterson,Region 4,002 Store 24,23/09/2014,Senior Sales Associate
7339,Carolyn Carter,Region 8,009 Store 1,20/05/1996,Staff Scientist
21699,Joe Carroll,Region 3,001 Store 16,14/12/2005,Dental Hygienist
23548,Martha Andrews,Region 3,006 Store 27,17/02/2012,Accounting Assistant II
4307,Alan Edwards,Region 4,003 Store 15,26/05/2009,Product Engineer
25651,Victor Collins,Region 9,007 Store 26,14/09/1996,Dental Hygienist
12410,Donna Peters,Region 7,002 Store 5,10/04/1999,Human Resources Manager
11653,Dennis Morales,Region 8,010 Store 24,26/08/2009,Senior Sales Associate
11478,Carl Howell,Region 2,005 Store 14,18/10/2012,Software Consultant
23225,Margaret Graham,Region 6,003 Store 20,20/01/2010,Engineer III
7639,Ann Martin,Region 6,010 Store 11,09/09/1993,Social Worker
22010,Emily Kennedy,Region 10,005 Store 20,20/09/2014,Registered Nurse
17167,Judy Sims,Region 3,002 Store 2,28/06/1996,Nurse Practicioner
5362,Terry Williamson,Region 2,009 Store 5,15/09/2013,Help Desk Operator
17115,Theresa Armstrong,Region 5,001 Store 12,26/09/2003,GIS Technical Architect
21162,Kenneth Willis,Region 9,009 Store 9,30/05/1990,Pharmacist
1608,Christopher Roberts,Region 9,004 Store 11,05/07/2007,Biostatistician II
23987,Raymond Miller,Region 8,003 Store 6,22/10/2006,Chemical Engineer
16164,Frances Powell,Region 3,001 Store 6,17/03/1997,Media Manager III
15474,Helen Wells,Region 10,002 Store 2,05/12/2013,Project Manager
791,Barbara Patterson,Region 8,010 Store 22,16/08/2012,Computer Systems Analyst IV
14394,Jeremy Cook,Region 5,009 Store 5,24/12/1996,Senior Sales Associate
23623,Anthony Duncan,Region 8,009 Store 21,20/10/2010,Analog Circuit Design manager
21839,Ralph Lawson,Region 3,005 Store 13,13/05/1999,Pharmacist
11381,Rachel Fuller,Region 10,009 Store 27,28/06/2011,Desktop Support Technician
22238,Maria Roberts,Region 1,002 Store 26,12/08/1995,Automation Specialist III
20175,Joshua Patterson,Region 7,008 Store 24,12/09/2006,Database Administrator I
14647,Andrea Elliott,Region 9,001 Store 10,13/06/1994,Accountant II
16735,Brian Brooks,Region 9,008 Store 12,15/11/1991,Junior Executive
15860,Ryan Warren,Region 1,008 Store 2,27/10/2010,Registered Nurse
18428,Ashley Ryan,Region 6,009 Store 17,02/09/1990,Project Manager
7303,Aaron Morales,Region 3,005 Store 23,03/09/2005,Account Executive
6168,Nicholas Hawkins,Region 10,001 Store 11,29/08/1999,Human Resources Assistant II
4368,Pamela Carter,Region 3,003 Store 24,07/09/1991,Sales Representative
2263,Denise Hughes,Region 8,005 Store 5,31/12/2000,Internal Auditor
15900,Jean Larson,Region 1,008 Store 3,05/01/2002,General Manager
1611,Carlos Lopez,Region 2,006 Store 24,21/08/2001,VP Accounting
24509,Kevin Evans,Region 2,002 Store 20,13/10/1996,Automation Specialist IV
3202,Julia Graham,Region 6,002 Store 13,13/12/1991,Human Resources Manager
9732,Anne Taylor,Region 3,007 Store 11,01/03/2004,Research Nurse
22501,Kimberly Lane,Region 9,005 Store 18,26/03/2008,Structural Analysis Engineer
23803,Deborah Stevens,Region 6,004 Store 25,29/08/2006,Structural Analysis Engineer
25843,Antonio Harper,Region 6,005 Store 19,09/06/2001,Business Systems Development Analyst
20669,Ashley Bryant,Region 5,005 Store 11,09/09/1996,Senior Developer
2917,Jeffrey Carter,Region 6,009 Store 4,24/04/2013,Nurse
2889,Henry Chavez,Region 6,004 Store 1,28/02/2005,Automation Specialist I
26545,Jesse Nelson,Region 2,008 Store 24,06/12/1995,Structural Engineer
20388,Mildred Austin,Region 7,002 Store 10,27/04/2014,Automation Specialist III
3669,Martin Jackson,Region 1,005 Store 16,19/12/2000,Programmer Analyst I
14438,Beverly Howell,Region 9,007 Store 1,08/08/2014,Research Assistant III
762,Catherine Crawford,Region 10,008 Store 7,13/07/1994,Staff Accountant III
25382,Shawn Morgan,Region 3,004 Store 22,04/08/2000,Assistant Media Planner
26545,Judy Day,Region 4,009 Store 19,12/07/2001,Marketing Manager
3031,Janet Mendoza,Region 2,003 Store 7,24/02/2003,Data Coordiator
6556,Bruce Scott,Region 8,007 Store 12,20/01/2011,Computer Systems Analyst II
17671,Mark Alvarez,Region 1,009 Store 5,24/01/2001,VP Quality Control
7602,Steve Nguyen,Region 2,005 Store 24,19/08/2014,VP Accounting
2155,Kathryn Fowler,Region 9,001 Store 12,27/01/1995,Staff Accountant III
10794,Nancy Olson,Region 7,005 Store 19,30/01/2015,Operator
23173,Alan Hunter,Region 5,007 Store 8,09/02/1998,Analyst Programmer
18253,Annie Simpson,Region 1,006 Store 12,07/11/1995,Business Systems Development Analyst
6025,Paula Nguyen,Region 3,006 Store 22,28/04/2005,Senior Developer
27528,Ernest Simpson,Region 9,005 Store 8,11/08/2014,Engineer I
22973,Harold Franklin,Region 6,004 Store 16,12/02/1997,Pharmacist
8895,Bobby Shaw,Region 1,007 Store 16,07/04/2008,Biostatistician IV
22225,Robin Berry,Region 4,008 Store 1,07/04/2003,Software Consultant
25996,Michael Martin,Region 7,003 Store 8,05/09/2000,Accountant II
1033,Steven Garrett,Region 5,006 Store 28,09/09/1993,Paralegal
4479,Julia Turner,Region 8,007 Store 24,18/03/2014,Associate Professor
2340,Jennifer Nichols,Region 5,006 Store 10,13/06/2010,Research Associate
15995,Jane Owens,Region 5,001 Store 17,03/05/1993,Human Resources Assistant IV
24204,Frank Marshall,Region 7,003 Store 4,12/01/2003,Internal Auditor
17193,Justin Russell,Region 7,010 Store 17,06/01/1994,Structural Analysis Engineer
22861,Clarence Grant,Region 6,004 Store 12,23/06/1995,Systems Administrator I
27140,Brian Brown,Region 10,009 Store 22,16/06/1997,Tax Accountant
26293,Pamela Rose,Region 9,010 Store 8,31/10/2009,Office Assistant II
4553,Howard Wilson,Region 6,009 Store 13,09/08/2010,Junior Executive
6001,Rachel Simmons,Region 6,005 Store 10,23/12/2013,Developer IV
8482,Virginia Vasquez,Region 9,004 Store 19,02/07/1996,Recruiting Manager
15172,Justin Adams,Region 8,006 Store 13,20/01/2014,Dental Hygienist
5246,Albert Evans,Region 5,005 Store 20,01/05/1998,Staff Scientist
26177,Wayne Black,Region 4,005 Store 8,20/09/1991,Office Assistant III
7336,Kelly Kennedy,Region 5,002 Store 27,12/11/2006,Sales Associate
17445,Albert Price,Region 9,007 Store 3,04/04/2002,Biostatistician IV
11913,Terry James,Region 9,001 Store 6,20/01/1998,Dental Hygienist
17733,Marie Payne,Region 4,009 Store 5,04/11/2012,Teacher
21105,Mark Black,Region 8,004 Store 28,19/09/2010,Nurse Practicioner
20635,Pamela Fuller,Region 7,007 Store 26,01/10/2006,VP Sales
1356,Thomas Howell,Region 8,006 Store 23,14/11/2013,Analyst Programmer
23645,Brandon Collins,Region 5,007 Store 8,07/02/2013,Financial Advisor
5144,Jean Grant,Region 8,003 Store 24,13/01/2015,Financial Advisor
25686,Jane Marshall,Region 4,001 Store 7,05/01/2001,Research Assistant IV
19351,Brandon Shaw,Region 7,001 Store 8,13/04/1992,Account Executive
2529,Bruce Wagner,Region 8,009 Store 24,09/10/2010,Electrical Engineer
10632,Edward Reynolds,Region 7,001 Store 2,28/12/2001,Physical Therapy Assistant
562,Larry Banks,Region 10,006 Store 4,26/10/1993,Geological Engineer
24220,Jane Brooks,Region 9,005 Store 2,07/08/2008,Staff Accountant I
27066,Billy Morris,Region 10,007 Store 26,05/09/2009,Help Desk Technician
13367,Eric Fields,Region 2,009 Store 20,12/09/1992,Business Systems Development Analyst
2302,Ralph Oliver,Region 4,004 Store 12,28/03/2006,Executive Secretary
630,Annie Matthews,Region 4,003 Store 26,29/10/2004,Systems Administrator I
4610,Rose Shaw,Region 7,001 Store 28,27/08/1997,VP Accounting
26996,Angela Morgan,Region 3,001 Store 23,26/10/2000,Speech Pathologist
3181,Diane Ward,Region 7,007 Store 2,05/05/2000,Software Engineer I
24143,Margaret Davis,Region 2,005 Store 16,26/10/1993,Professor
23761,Antonio Russell,Region 8,001 Store 14,27/09/2010,Geologist II
18811,Harold Montgomery,Region 3,007 Store 2,11/02/2007,Information Systems Manager
1507,Keith Gonzales,Region 8,002 Store 13,22/02/1995,Chief Design Engineer
18589,Larry Reyes,Region 1,005 Store 8,10/11/1995,Accounting Assistant II
9778,Clarence Cole,Region 8,007 Store 22,17/02/2012,Chemical Engineer
16007,Louis Day,Region 7,010 Store 1,03/02/1995,Product Engineer
17186,Louis Rogers,Region 5,009 Store 2,04/06/2005,Desktop Support Technician
9748,Tina Morales,Region 1,001 Store 16,20/05/1999,Senior Editor
204,Christina Brooks,Region 3,009 Store 19,20/11/2004,VP Marketing
2117,Gary Weaver,Region 2,010 Store 5,17/08/2013,Software Test Engineer I
22622,Jacqueline Ryan,Region 8,001 Store 22,23/07/1990,Executive Secretary
8232,Willie Chapman,Region 7,006 Store 4,09/10/2008,Structural Analysis Engineer
1431,Amanda Richards,Region 7,002 Store 10,25/11/2008,GIS Technical Architect
22002,Heather Rice,Region 3,003 Store 19,06/06/2002,Staff Scientist
25660,Sarah Morris,Region 4,001 Store 26,15/12/2005,Structural Engineer
9984,Janice Palmer,Region 3,008 Store 1,15/09/2013,Accounting Assistant IV
2161,Juan Carr,Region 9,005 Store 4,11/05/1993,Food Chemist
9504,Anna Robinson,Region 5,002 Store 20,11/11/1996,Nurse Practicioner
6685,Johnny Thompson,Region 6,002 Store 5,30/12/2006,Web Developer II
